               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  35,           0.0094399,           0.0073552,          0.00082474,              0.9757,                   1,               0.995,             0.89508,           0.0044723,           0.0027079,          0.00017254,           0.0014042,           0.0014042,           0.0014042
                  36,           0.0097275,           0.0068969,          0.00065316,             0.97424,                   1,               0.995,             0.92531,            0.003982,            0.002708,          0.00016286,           0.0011707,           0.0011707,           0.0011707
                  37,            0.013632,           0.0071823,           0.0020726,             0.97215,                   1,               0.995,             0.90545,           0.0038409,           0.0027247,          0.00015327,          0.00095582,          0.00095582,          0.00095582
                  38,           0.0098192,           0.0064321,           0.0012961,             0.97004,                   1,               0.995,             0.90771,           0.0039473,           0.0027125,          0.00014323,          0.00076068,          0.00076068,          0.00076068
                  39,            0.011925,           0.0072245,          0.00077596,             0.96894,                   1,               0.995,             0.91921,           0.0035042,           0.0027376,           0.0001407,           0.0005862,           0.0005862,           0.0005862
                  40,            0.011332,           0.0070611,          0.00052405,             0.96771,                   1,               0.995,             0.91724,           0.0033957,            0.002679,          0.00013939,          0.00043323,          0.00043323,          0.00043323
                  41,            0.010819,           0.0067272,          0.00053573,             0.96913,                   1,               0.995,             0.95542,           0.0032498,           0.0026292,          0.00013593,          0.00030251,          0.00030251,          0.00030251
                  42,             0.01047,           0.0074142,          0.00070951,             0.96976,                   1,               0.995,             0.95802,           0.0032127,           0.0026238,          0.00013358,          0.00019467,          0.00019467,          0.00019467
                  43,            0.011371,           0.0071301,           0.0011226,             0.96782,                   1,               0.995,             0.95635,           0.0031952,           0.0026394,           0.0001355,          0.00011025,          0.00011025,          0.00011025
                  44,           0.0095374,           0.0074353,          0.00052784,             0.96869,                   1,               0.995,             0.94894,           0.0032006,            0.002634,          0.00013574,          4.9655e-05,          4.9655e-05,          4.9655e-05
