               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,              0.0327,            0.010875,           0.0028964,              0.9957,                   1,               0.995,             0.68718,            0.008634,           0.0038976,           0.0013377,             0.00307,             0.00307,             0.00307
                  37,            0.023151,            0.010988,           0.0026416,             0.94642,                   1,             0.99262,              0.5334,            0.011747,           0.0039397,             0.00129,            0.002872,            0.002872,            0.002872
                  38,            0.025685,             0.01123,           0.0026008,             0.99738,                   1,               0.995,             0.80543,           0.0086307,           0.0037483,           0.0012861,            0.002674,            0.002674,            0.002674
                  39,            0.024107,            0.010603,           0.0027114,             0.91033,                0.95,             0.98417,             0.54371,           0.0092103,           0.0038762,           0.0012576,            0.002476,            0.002476,            0.002476
                  40,            0.039745,            0.010416,           0.0039605,             0.94668,                   1,             0.99262,             0.83651,           0.0081257,           0.0037053,           0.0012375,            0.002278,            0.002278,            0.002278
                  41,            0.027125,            0.010347,           0.0024407,             0.97415,                0.95,             0.99045,             0.74293,           0.0096876,           0.0036708,           0.0012459,             0.00208,             0.00208,             0.00208
                  42,            0.020876,            0.010062,           0.0023694,             0.99652,                   1,               0.995,             0.84122,           0.0066048,           0.0036115,           0.0012284,            0.001882,            0.001882,            0.001882
                  43,            0.033445,            0.010074,           0.0024688,               0.996,                   1,               0.995,              0.7167,           0.0085824,            0.003602,           0.0011881,            0.001684,            0.001684,            0.001684
                  44,             0.01819,           0.0090462,            0.002245,             0.99625,                   1,               0.995,             0.88835,           0.0049816,           0.0034181,           0.0011794,            0.001486,            0.001486,            0.001486
                  45,            0.025737,            0.010614,           0.0025462,             0.99622,                   1,               0.995,             0.70328,           0.0096525,           0.0036229,            0.001156,            0.001288,            0.001288,            0.001288
                  46,            0.022065,            0.010412,           0.0021889,              0.9962,                   1,               0.995,             0.85188,           0.0061043,           0.0034379,           0.0011585,             0.00109,             0.00109,             0.00109
                  47,            0.022685,            0.010145,           0.0021728,             0.99569,                   1,               0.995,             0.70587,           0.0075985,           0.0035188,           0.0011427,            0.000892,            0.000892,            0.000892
                  48,            0.019284,           0.0095815,           0.0020702,             0.99582,                   1,               0.995,             0.84344,           0.0050653,           0.0033354,           0.0011432,            0.000694,            0.000694,            0.000694
                  49,            0.016131,             0.01013,           0.0021032,             0.99618,                   1,               0.995,             0.86737,           0.0058611,           0.0033557,           0.0011301,            0.000496,            0.000496,            0.000496
